"フィーチャID","形状(WKT)","行政区域コード （P29_001）","学校コード （P29_002）","学校分類 （P29_003）","名称 （P29_004）","所在地 （P29_005）","管理者コード （P29_006）","休校区分 （P29_007）","期間開始日時","期間終了日時","作成者","作成日時","更新者","更新日時"
"564","POINT(136.956606 35.209264)","23100","A123210000149","16011","二城幼稚園","名古屋市守山区鳥神町248","3","1","","","システム管理者","2023/07/12 15:38:23","システム管理者",""
"565","POINT(136.966122 35.097443)","23100","A123210000158","16011","鳴子幼稚園","名古屋市緑区鳴子町1-54","3","1","","","システム管理者","2023/07/12 15:38:23","システム管理者",""
"566","POINT(136.96825 35.050616)","23100","A123210000167","16011","桶狭間幼稚園","名古屋市緑区南陵102","3","1","","","システム管理者","2023/07/12 15:38:23","システム管理者",""
"567","POINT(136.94013 35.060497)","23100","A123210000176","16011","大高幼稚園","名古屋市緑区森の里1-107","3","1","","","システム管理者","2023/07/12 15:38:23","システム管理者",""
"568","POINT(137.011843 35.100944)","23100","A123210000185","16011","神の倉幼稚園","名古屋市緑区神の倉4-210","3","1","","","システム管理者","2023/07/12 15:38:23","システム管理者",""
"569","POINT(136.996088 35.162921)","23100","A123210000194","16011","西山台幼稚園","名古屋市名東区亀の井2-41","3","1","","","システム管理者","2023/07/12 15:38:23","システム管理者",""
"570","POINT(137.003252 35.178584)","23100","A123210000201","16011","猪高幼稚園","名古屋市名東区丁田町33","3","1","","","システム管理者","2023/07/12 15:38:23","システム管理者",""
"571","POINT(137.017711 35.143871)","23100","A123210000210","16011","梅森坂幼稚園","名古屋市名東区梅森坂3-210","3","1","","","システム管理者","2023/07/12 15:38:23","システム管理者",""
"572","POINT(136.992837 35.135716)","23100","A123210000229","16011","植田幼稚園","名古屋市天白区植田本町1-1201","3","1","","","システム管理者","2023/07/12 15:38:23","システム管理者",""
"573","POINT(136.933233 34.900848)","23205","A123210000238","16011","半田幼稚園","半田市勘内町1-2","3","1","","","システム管理者","2023/07/12 15:38:23","システム管理者",""
"574","POINT(136.945484 34.911866)","23205","A123210000247","16011","乙川幼稚園","半田市乙川若宮町45","3","1","","","システム管理者","2023/07/12 15:38:23","システム管理者",""
"575","POINT(136.963762 34.920577)","23205","A123210000256","16011","亀崎幼稚園","半田市亀崎月見町1-63","3","1","","","システム管理者","2023/07/12 15:38:23","システム管理者",""
"576","POINT(136.921265 34.880218)","23205","A123210000265","16011","成岩幼稚園","半田市有楽町2-125","3","1","","","システム管理者","2023/07/12 15:38:23","システム管理者",""
"577","POINT(136.908203 34.877395)","23205","A123210000274","16011","花園幼稚園","半田市青山6-18-1","3","1","","","システム管理者","2023/07/12 15:38:23","システム管理者",""
"578","POINT(136.909638 34.893423)","23205","A123210000283","16011","宮池幼稚園","半田市北二ﾂ坂町2-14-6","3","1","","","システム管理者","2023/07/12 15:38:23","システム管理者",""
"579","POINT(136.743163 35.181008)","23208","A123210000292","16011","津島幼稚園","津島市古川町3-64","3","1","","","システム管理者","2023/07/12 15:38:23","システム管理者",""
"580","POINT(136.979763 34.866858)","23209","A123210000309","16011","大浜幼稚園","碧南市浜田町1-119","3","1","","","システム管理者","2023/07/12 15:38:23","システム管理者",""
"581","POINT(136.990816 34.899394)","23209","A123210000318","16011","新川幼稚園","碧南市新川町2-123","3","1","","","システム管理者","2023/07/12 15:38:23","システム管理者",""
"582","POINT(136.992689 34.878288)","23209","A123210000327","16011","棚尾幼稚園","碧南市春日町2-10","3","1","","","システム管理者","2023/07/12 15:38:23","システム管理者",""
"583","POINT(137.012966 34.915753)","23209","A123210000336","16011","西端幼稚園","碧南市上町2-77","3","1","","","システム管理者","2023/07/12 15:38:23","システム管理者",""
"584","POINT(137.000796 34.88789)","23209","A123210000345","16011","中央幼稚園","碧南市幸町3-40-1","3","1","","","システム管理者","2023/07/12 15:38:23","システム管理者",""
"585","POINT(137.181188 35.074863)","23211","A123210000354","16011","野見こども園","豊田市美里5-19","3","1","","","システム管理者","2023/07/12 15:38:23","システム管理者",""
"586","POINT(137.169318 35.050615)","23211","A123210000363","16011","トヨタこども園","豊田市水源町1-1-1","3","1","","","システム管理者","2023/07/12 15:38:23","システム管理者",""
"587","POINT(137.144054 35.059416)","23211","A123210000372","16011","山之手こども園","豊田市山之手1-78-1","3","1","","","システム管理者","2023/07/12 15:38:23","システム管理者",""
"588","POINT(137.147647 35.079791)","23211","A123210000381","16011","童子山こども園","豊田市小坂町16-51","3","1","","","システム管理者","2023/07/12 15:38:23","システム管理者",""
"589","POINT(137.148779 35.096043)","23211","A123210000390","16011","朝日こども園","豊田市日南町5-15-2","3","1","","","システム管理者","2023/07/12 15:38:23","システム管理者",""
"590","POINT(137.17119 35.058642)","23211","A123210000407","16011","平山こども園","豊田市平山町1-10-1","3","1","","","システム管理者","2023/07/12 15:38:23","システム管理者",""
"591","POINT(137.184536 35.094699)","23211","A123210000416","16011","高橋こども園","豊田市水間町4-155-1","3","1","","","システム管理者","2023/07/12 15:38:23","システム管理者",""
"592","POINT(137.047898 34.86523)","23213","A123210000443","16011","西尾幼稚園","西尾市錦城町162-13","3","1","","","システム管理者","2023/07/12 15:38:23","システム管理者",""
"593","POINT(137.019381 34.857796)","23213","A123210000452","16011","平坂幼稚園","西尾市楠村町北巴1-1","3","1","","","システム管理者","2023/07/12 15:38:23","システム管理者",""
"594","POINT(137.053636 34.880184)","23213","A123210000461","16011","鶴城幼稚園","西尾市伊藤2-4-1","3","1","","","システム管理者","2023/07/12 15:38:23","システム管理者",""
"595","POINT(136.947277 35.378865)","23215","A123210000470","16011","犬山幼稚園","犬山市天神町3-12","3","1","","","システム管理者","2023/07/12 15:38:23","システム管理者",""
"596","POINT(136.839791 34.893883)","23216","A123210000489","16011","常滑幼稚園","常滑市原松町2-193","3","1","","","システム管理者","2023/07/12 15:38:23","システム管理者",""
"597","POINT(136.931548 35.285767)","23219","A123210000498","16011","第一幼稚園","小牧市中央6-101","3","1","","","システム管理者","2023/07/12 15:38:23","システム管理者",""
"598","POINT(136.874437 34.974397)","23224","A123210000504","16011","梅が丘幼稚園","知多市梅が丘1-89-1","3","1","","","システム管理者","2023/07/12 15:38:23","システム管理者",""
"599","POINT(136.908426 34.964766)","23224","A123210000513","16011","東部幼稚園","知多市八幡字笹廻間43-1","3","1","","","システム管理者","2023/07/12 15:38:23","システム管理者",""
"600","POINT(136.996828 34.94032)","23227","A123210000522","16011","吉浜幼稚園","高浜市屋敷町5-9-2","3","1","","","システム管理者","2023/07/12 15:38:23","システム管理者",""
"601","POINT(136.985874 34.916045)","23227","A123210000531","16011","高浜南部幼稚園","高浜市碧海町4-6-13","3","1","","","システム管理者","2023/07/12 15:38:23","システム管理者",""
"602","POINT(136.865504 35.204088)","23233","A123210000540","16011","西枇杷島第１幼稚園","清須市西枇杷島町花咲78","3","1","","","システム管理者","2023/07/12 15:38:23","システム管理者",""
"603","POINT(136.910871 34.938387)","23441","A123210000559","16011","ほくぶ幼稚園","知多郡阿久比町大字卯坂字西谷63","3","1","","","システム管理者","2023/07/12 15:38:23","システム管理者",""
"604","POINT(137.318695 35.138604)","23211","A123210000568","16011","足助まゆみこども園","豊田市足助町陣屋跡7","3","1","","","システム管理者","2023/07/12 15:38:23","システム管理者",""
"605","POINT(137.363968 35.23583)","23211","A123210000577","16011","小渡こども園","豊田市下切町下切10","3","1","","","システム管理者","2023/07/12 15:38:23","システム管理者",""
"606","POINT(136.834958 34.928614)","23216","A223210000004","16013","青海こども園","常滑市金山字油手6","3","1","","","システム管理者","2023/07/12 15:38:23","システム管理者",""
"607","POINT(137.365756 34.700826)","23201","A223210000013","16013","こじかこども園","豊橋市植田町字一本木116-151","3","1","","","システム管理者","2023/07/12 15:38:23","システム管理者",""
"608","POINT(137.17364 34.962139)","23202","A223210000022","16013","梅園こども園","岡崎市梅園町字2-6-1","3","1","","","システム管理者","2023/07/12 15:38:23","システム管理者",""
"609","POINT(137.162366 34.970305)","23202","A223210000031","16013","広幡こども園","岡崎市広幡町11-4","3","1","","","システム管理者","2023/07/12 15:38:23","システム管理者",""
"610","POINT(137.137401 34.96381)","23202","A223210000040","16013","矢作こども園","岡崎市矢作町字西河原49","3","1","","","システム管理者","2023/07/12 15:38:23","システム管理者",""
"611","POINT(136.986644 34.987235)","23210","A223210000077","16013","刈谷幼児園","刈谷市司町3-15","3","1","","","システム管理者","2023/07/12 15:38:23","システム管理者",""
"612","POINT(137.002466 35.000247)","23210","A223210000086","16013","小高原幼児園","刈谷市原崎町1-101","3","1","","","システム管理者","2023/07/12 15:38:23","システム管理者",""
"613","POINT(136.988397 34.977789)","23210","A223210000095","16013","衣浦幼児園","刈谷市天王町3-24","3","1","","","システム管理者","2023/07/12 15:38:23","システム管理者",""
"614","POINT(137.011717 34.987488)","23210","A223210000102","16013","住吉幼児園","刈谷市神田町2-3-8","3","1","","","システム管理者","2023/07/12 15:38:23","システム管理者",""
"615","POINT(137.019422 35.010539)","23210","A223210000111","16013","かりがね幼児園","刈谷市恩田町4-156-2","3","1","","","システム管理者","2023/07/12 15:38:23","システム管理者",""
"616","POINT(137.029066 35.012486)","23210","A223210000120","16013","平成幼児園","刈谷市一ﾂ木町5-16-1","3","1","","","システム管理者","2023/07/12 15:38:23","システム管理者",""
"617","POINT(137.014234 35.025257)","23210","A223210000139","16013","富士松南幼児園","刈谷市今川町山脇58","3","1","","","システム管理者","2023/07/12 15:38:23","システム管理者",""
"618","POINT(137.031547 35.037489)","23210","A223210000148","16013","富士松北幼児園","刈谷市東境町飯島33","3","1","","","システム管理者","2023/07/12 15:38:23","システム管理者",""
"619","POINT(136.996644 34.963064)","23210","A223210000157","16013","小垣江幼児園","刈谷市小垣江町西王地28-1","3","1","","","システム管理者","2023/07/12 15:38:23","システム管理者",""
"620","POINT(137.021361 34.97584)","23210","A223210000166","16013","双葉幼児園","刈谷市半城土中町3-13-2","3","1","","","システム管理者","2023/07/12 15:38:23","システム管理者",""
"621","POINT(136.994852 35.004369)","23210","A223210000175","16013","日高幼児園","刈谷市日高町1-201","3","1","","","システム管理者","2023/07/12 15:38:23","システム管理者",""
"622","POINT(137.037835 34.973441)","23210","A223210000193","16013","東刈谷幼児園","刈谷市東刈谷町3-8","3","1","","","システム管理者","2023/07/12 15:38:23","システム管理者",""
"623","POINT(137.01407 34.960073)","23210","A223210000200","16013","小垣江東幼児園","刈谷市小垣江町上沢渡33","3","1","","","システム管理者","2023/07/12 15:38:23","システム管理者",""
"624","POINT(137.042641 35.054816)","23210","A223210000219","16013","井ケ谷幼児園","刈谷市井ｹ谷町下前田54","3","1","","","システム管理者","2023/07/12 15:38:23","システム管理者",""
"625","POINT(137.030468 34.970721)","23210","A223210000228","16013","朝日幼児園","刈谷市野田町新上納301","3","1","","","システム管理者","2023/07/12 15:38:23","システム管理者",""
"626","POINT(136.747102 35.171765)","23208","A223210000237","16013","新開こども園","津島市新開町5-6","3","1","","","システム管理者","2023/07/12 15:38:23","システム管理者",""
"627","POINT(137.168885 34.964094)","23202","B123110000014","16001","愛知教育大学附属岡崎小学校","岡崎市六供町八貫15","1","1","","","システム管理者","2023/07/12 15:38:23","システム管理者",""
"628","POINT(136.952957 35.188755)","23100","B123110000023","16001","愛知教育大学附属名古屋小学校","名古屋市東区大幸南1-126","1","1","","","システム管理者","2023/07/12 15:38:23","システム管理者",""
"629","POINT(136.937764 35.174146)","23100","B123210000003","16001","内山小学校","名古屋市千種区内山1-4-15","3","1","","","システム管理者","2023/07/12 15:38:23","システム管理者",""
"630","POINT(136.942237 35.164231)","23100","B123210000012","16001","春岡小学校","名古屋市千種区春岡2-5-38","3","1","","","システム管理者","2023/07/12 15:38:23","システム管理者",""
"631","POINT(136.934071 35.162731)","23100","B123210000021","16001","千種小学校","名古屋市千種区千種3-2-5","3","1","","","システム管理者","2023/07/12 15:38:23","システム管理者",""
"632","POINT(136.928405 35.166174)","23100","B123210000030","16001","千石小学校","名古屋市千種区千種1-1-52","3","1","","","システム管理者","2023/07/12 15:38:23","システム管理者",""
"633","POINT(136.948986 35.172813)","23100","B123210000049","16001","高見小学校","名古屋市千種区高見1-7-1","3","1","","","システム管理者","2023/07/12 15:38:23","システム管理者",""
"634","POINT(136.939208 35.179228)","23100","B123210000058","16001","大和小学校","名古屋市千種区松軒1-4-9","3","1","","","システム管理者","2023/07/12 15:38:23","システム管理者",""
"635","POINT(136.955402 35.16462)","23100","B123210000067","16001","田代小学校","名古屋市千種区観月町2-41","3","1","","","システム管理者","2023/07/12 15:38:23","システム管理者",""
"636","POINT(136.965124 35.172508)","23100","B123210000076","16001","自由ケ丘小学校","名古屋市千種区自由ｹ丘2-15-24","3","1","","","システム管理者","2023/07/12 15:38:23","システム管理者",""
"637","POINT(136.952402 35.18009)","23100","B123210000085","16001","上野小学校","名古屋市千種区上野2-6-1","3","1","","","システム管理者","2023/07/12 15:38:23","システム管理者",""
"638","POINT(136.970012 35.182006)","23100","B123210000094","16001","富士見台小学校","名古屋市千種区富士見台2-1","3","1","","","システム管理者","2023/07/12 15:38:23","システム管理者",""
"639","POINT(136.96704 35.163787)","23100","B123210000101","16001","東山小学校","名古屋市千種区橋本町3-20","3","1","","","システム管理者","2023/07/12 15:38:23","システム管理者",""
"640","POINT(136.988622 35.163481)","23100","B123210000110","16001","星ケ丘小学校","名古屋市千種区星ヶ丘1-4","3","1","","","システム管理者","2023/07/12 15:38:23","システム管理者",""
"641","POINT(136.979872 35.183618)","23100","B123210000129","16001","宮根小学校","名古屋市千種区宮根台2-10-19","3","1","","","システム管理者","2023/07/12 15:38:23","システム管理者",""
"642","POINT(136.959347 35.160204)","23100","B123210000138","16001","見付小学校","名古屋市千種区見附町3-1-3","3","1","","","システム管理者","2023/07/12 15:38:23","システム管理者",""
"643","POINT(136.971373 35.186645)","23100","B123210000147","16001","千代田橋小学校","名古屋市千種区千代田橋2-3-7","3","1","","","システム管理者","2023/07/12 15:38:23","システム管理者",""
"644","POINT(136.929542 35.18531)","23100","B123210000156","16001","旭丘小学校","名古屋市東区徳川町1601","3","1","","","システム管理者","2023/07/12 15:38:23","システム管理者",""
"645","POINT(136.935097 35.181116)","23100","B123210000165","16001","明倫小学校","名古屋市東区出来町1-8-1","3","1","","","システム管理者","2023/07/12 15:38:23","システム管理者",""
"646","POINT(136.928876 35.17745)","23100","B123210000174","16001","筒井小学校","名古屋市東区筒井1-15-28","3","1","","","システム管理者","2023/07/12 15:38:23","システム管理者",""
"647","POINT(136.912711 35.171533)","23100","B123210000183","16001","東桜小学校","名古屋市東区東桜1-13-1","3","1","","","システム管理者","2023/07/12 15:38:23","システム管理者",""
"648","POINT(136.945374 35.19031)","23100","B123210000192","16001","矢田小学校","名古屋市東区矢田南4-4-1","3","1","","","システム管理者","2023/07/12 15:38:23","システム管理者",""
"649","POINT(136.915294 35.179727)","23100","B123210000209","16001","山吹小学校","名古屋市東区橦木町2-24","3","1","","","システム管理者","2023/07/12 15:38:23","システム管理者",""
"650","POINT(136.921571 35.183115)","23100","B123210000218","16001","東白壁小学校","名古屋市東区白壁5-7","3","1","","","システム管理者","2023/07/12 15:38:23","システム管理者",""
"651","POINT(136.922155 35.173145)","23100","B123210000227","16001","葵小学校","名古屋市東区葵1-5-1","3","1","","","システム管理者","2023/07/12 15:38:23","システム管理者",""
"652","POINT(136.959485 35.188617)","23100","B123210000236","16001","砂田橋小学校","名古屋市東区砂田橋3-1-13","3","1","","","システム管理者","2023/07/12 15:38:23","システム管理者",""
"653","POINT(136.931563 35.197496)","23100","B123210000245","16001","飯田小学校","名古屋市北区平安2-7-14","3","1","","","システム管理者","2023/07/12 15:38:23","システム管理者",""
"654","POINT(136.917543 35.190364)","23100","B123210000254","16001","大杉小学校","名古屋市北区大杉3-9-21","3","1","","","システム管理者","2023/07/12 15:38:23","システム管理者",""
"655","POINT(136.913488 35.19253)","23100","B123210000263","16001","清水小学校","名古屋市北区清水5-3-1","3","1","","","システム管理者","2023/07/12 15:38:23","システム管理者",""
"656","POINT(136.922182 35.192142)","23100","B123210000272","16001","杉村小学校","名古屋市北区長田町3-62","3","1","","","システム管理者","2023/07/12 15:38:23","システム管理者",""
"657","POINT(136.926181 35.199308)","23100","B123210000281","16001","名北小学校","名古屋市北区下飯田町1-34","3","1","","","システム管理者","2023/07/12 15:38:23","システム管理者",""
"658","POINT(136.906211 35.196557)","23100","B123210000290","16001","金城小学校","名古屋市北区金城3-11-6","3","1","","","システム管理者","2023/07/12 15:38:23","システム管理者",""
"659","POINT(136.915127 35.202613)","23100","B123210000307","16001","東志賀小学校","名古屋市北区志賀町4-60","3","1","","","システム管理者","2023/07/12 15:38:23","システム管理者",""
"660","POINT(136.91196 35.210223)","23100","B123210000316","16001","城北小学校","名古屋市北区鳩岡2-8-43","3","1","","","システム管理者","2023/07/12 15:38:23","システム管理者",""
"661","POINT(136.904294 35.209778)","23100","B123210000325","16001","光城小学校","名古屋市北区光音寺町4-1","3","1","","","システム管理者","2023/07/12 15:38:23","システム管理者",""
"662","POINT(136.934395 35.192375)","23100","B123210000334","16001","六郷小学校","名古屋市北区大曽根3-15-82","3","1","","","システム管理者","2023/07/12 15:38:23","システム管理者",""
"663","POINT(136.920125 35.232526)","23100","B123210000343","16001","楠小学校","名古屋市北区池花町309","3","1","","","システム管理者","2023/07/12 15:38:23","システム管理者",""
"664","POINT(136.925319 35.221278)","23100","B123210000352","16001","味鋺小学校","名古屋市北区楠味鋺3-126","3","1","","","システム管理者","2023/07/12 15:38:23","システム管理者",""
"665","POINT(136.914376 35.224583)","23100","B123210000361","16001","西味鋺小学校","名古屋市北区西味鋺2-526","3","1","","","システム管理者","2023/07/12 15:38:23","システム管理者",""
"666","POINT(136.94084 35.198365)","23100","B123210000370","16001","六郷北小学校","名古屋市北区山田4-14-56","3","1","","","システム管理者","2023/07/12 15:38:23","システム管理者",""
"667","POINT(136.907681 35.238608)","23100","B123210000389","16001","楠西小学校","名古屋市北区会所町89","3","1","","","システム管理者","2023/07/12 15:38:23","システム管理者",""
"668","POINT(136.901683 35.213056)","23100","B123210000398","16001","川中小学校","名古屋市北区福徳町5-52","3","1","","","システム管理者","2023/07/12 15:38:23","システム管理者",""
"669","POINT(136.937152 35.201392)","23100","B123210000405","16001","宮前小学校","名古屋市北区上飯田南町4-1-2","3","1","","","システム管理者","2023/07/12 15:38:23","システム管理者",""
"670","POINT(136.925791 35.238331)","23100","B123210000414","16001","如意小学校","名古屋市北区如意3-131","3","1","","","システム管理者","2023/07/12 15:38:23","システム管理者",""
"671","POINT(136.921987 35.205668)","23100","B123210000423","16001","辻小学校","名古屋市北区辻町1-32-4","3","1","","","システム管理者","2023/07/12 15:38:23","システム管理者",""
"672","POINT(136.883686 35.186391)","23100","B123210000432","16001","榎小学校","名古屋市西区押切1-12-25","3","1","","","システム管理者","2023/07/12 15:38:23","システム管理者",""
"673","POINT(136.874992 35.184169)","23100","B123210000441","16001","栄生小学校","名古屋市西区栄生1-27-26","3","1","","","システム管理者","2023/07/12 15:38:23","システム管理者",""
"674","POINT(136.89424 35.195224)","23100","B123210000450","16001","上名古屋小学校","名古屋市西区上名古屋3-4-18","3","1","","","システム管理者","2023/07/12 15:38:23","システム管理者",""
"675","POINT(136.895046 35.188308)","23100","B123210000469","16001","城西小学校","名古屋市西区城西3-14-25","3","1","","","システム管理者","2023/07/12 15:38:23","システム管理者",""
"676","POINT(136.884075 35.193446)","23100","B123210000478","16001","児玉小学校","名古屋市西区児玉2-3-33","3","1","","","システム管理者","2023/07/12 15:38:23","システム管理者",""
"677","POINT(136.87177 35.192695)","23100","B123210000487","16001","枇杷島小学校","名古屋市西区枇杷島3-16-33","3","1","","","システム管理者","2023/07/12 15:38:23","システム管理者",""
"678","POINT(136.881103 35.183447)","23100","B123210000496","16001","南押切小学校","名古屋市西区則武新町2-14-3","3","1","","","システム管理者","2023/07/12 15:38:23","システム管理者",""
"679","POINT(136.884074 35.206361)","23100","B123210000502","16001","庄内小学校","名古屋市西区新福寺町2-5-1","3","1","","","システム管理者","2023/07/12 15:38:23","システム管理者",""
"680","POINT(136.898128 35.203695)","23100","B123210000511","16001","稲生小学校","名古屋市西区香呑町2-84","3","1","","","システム管理者","2023/07/12 15:38:23","システム管理者",""
"681","POINT(136.882018 35.222998)","23100","B123210000520","16001","山田小学校","名古屋市西区八筋町381-1","3","1","","","システム管理者","2023/07/12 15:38:23","システム管理者",""
"682","POINT(136.863798 35.226858)","23100","B123210000539","16001","平田小学校","名古屋市西区西原町88","3","1","","","システム管理者","2023/07/12 15:38:23","システム管理者",""
"683","POINT(136.900072 35.226943)","23100","B123210000548","16001","比良小学校","名古屋市西区比良2-175","3","1","","","システム管理者","2023/07/12 15:38:23","システム管理者",""
"684","POINT(136.896878 35.219444)","23100","B123210000557","16001","大野木小学校","名古屋市西区大野木3-17","3","1","","","システム管理者","2023/07/12 15:38:23","システム管理者",""
"685","POINT(136.858159 35.22808)","23100","B123210000566","16001","浮野小学校","名古屋市西区浮野町98","3","1","","","システム管理者","2023/07/12 15:38:23","システム管理者",""
"686","POINT(136.889489 35.229387)","23100","B123210000575","16001","比良西小学校","名古屋市西区玉池町347","3","1","","","システム管理者","2023/07/12 15:38:23","システム管理者",""
"687","POINT(136.871658 35.213249)","23100","B123210000584","16001","中小田井小学校","名古屋市西区中小田井2-189","3","1","","","システム管理者","2023/07/12 15:38:23","システム管理者",""
"688","POINT(136.891852 35.180503)","23100","B123210000593","16001","なごや小学校","名古屋市西区幅下1-7-17","3","1","","","システム管理者","2023/07/12 15:38:23","システム管理者",""
"689","POINT(136.858105 35.174031)","23100","B123210000600","16001","中村小学校","名古屋市中村区中村町1-72","3","1","","","システム管理者","2023/07/12 15:38:23","システム管理者",""
"690","POINT(136.861855 35.177364)","23100","B123210000619","16001","豊臣小学校","名古屋市中村区森末町2-1","3","1","","","システム管理者","2023/07/12 15:38:23","システム管理者",""
"691","POINT(136.87752 35.169144)","23100","B123210000628","16001","牧野小学校","名古屋市中村区竹橋町3-4","3","1","","","システム管理者","2023/07/12 15:38:23","システム管理者",""
"692","POINT(136.877859 35.163254)","23100","B123210000637","16001","米野小学校","名古屋市中村区権現通1-28","3","1","","","システム管理者","2023/07/12 15:38:23","システム管理者",""
"693","POINT(136.864355 35.183336)","23100","B123210000646","16001","日比津小学校","名古屋市中村区高道町2-1-30","3","1","","","システム管理者","2023/07/12 15:38:23","システム管理者",""
"694","POINT(136.853828 35.178669)","23100","B123210000655","16001","諏訪小学校","名古屋市中村区諏訪町2-6-7","3","1","","","システム管理者","2023/07/12 15:38:23","システム管理者",""
"695","POINT(136.860939 35.154478)","23100","B123210000664","16001","柳小学校","名古屋市中村区烏森町2-25","3","1","","","システム管理者","2023/07/12 15:38:23","システム管理者",""
"696","POINT(136.846551 35.169671)","23100","B123210000673","16001","稲葉地小学校","名古屋市中村区靖国町3-20","3","1","","","システム管理者","2023/07/12 15:38:23","システム管理者",""
"697","POINT(136.838635 35.165866)","23100","B123210000682","16001","稲西小学校","名古屋市中村区稲西町88","3","1","","","システム管理者","2023/07/12 15:38:23","システム管理者",""
"698","POINT(136.867243 35.165449)","23100","B123210000691","16001","日吉小学校","名古屋市中村区城主町1-1","3","1","","","システム管理者","2023/07/12 15:38:23","システム管理者",""
"699","POINT(136.858494 35.162033)","23100","B123210000708","16001","千成小学校","名古屋市中村区日ﾉ宮1-120","3","1","","","システム管理者","2023/07/12 15:38:23","システム管理者",""
"700","POINT(136.846107 35.1567)","23100","B123210000717","16001","岩塚小学校","名古屋市中村区岩塚町4-17","3","1","","","システム管理者","2023/07/12 15:38:23","システム管理者",""
"701","POINT(136.838997 35.151257)","23100","B123210000726","16001","八社小学校","名古屋市中村区八社1-199-2","3","1","","","システム管理者","2023/07/12 15:38:23","システム管理者",""
"702","POINT(136.871711 35.174241)","23100","B123210000735","16001","ほのか小学校","名古屋市中村区松原町5-5","3","1","","","システム管理者","2023/07/12 15:38:23","システム管理者",""
"703","POINT(136.889349 35.170587)","23100","B123210000744","16001","笹島小学校","名古屋市中村区名駅4-19-1","3","1","","","システム管理者","2023/07/12 15:38:23","システム管理者",""
"704","POINT(136.903934 35.177504)","23100","B123210000753","16001","名城小学校","名古屋市中区丸の内3-3-35","3","1","","","システム管理者","2023/07/12 15:38:23","システム管理者",""
"705","POINT(136.895546 35.170644)","23100","B123210000762","16001","御園小学校","名古屋市中区錦1-9-1","3","1","","","システム管理者","2023/07/12 15:38:23","システム管理者",""
"706","POINT(136.894824 35.163895)","23100","B123210000771","16001","栄小学校","名古屋市中区栄1-28-1","3","1","","","システム管理者","2023/07/12 15:38:23","システム管理者",""
"707","POINT(136.92621 35.16784)","23100","B123210000780","16001","新栄小学校","名古屋市中区新栄3-15-51","3","1","","","システム管理者","2023/07/12 15:38:23","システム管理者",""
"708","POINT(136.897186 35.153507)","23100","B123210000799","16001","松原小学校","名古屋市中区松原3-5-3","3","1","","","システム管理者","2023/07/12 15:38:23","システム管理者",""
"709","POINT(136.904435 35.153924)","23100","B123210000806","16001","橘小学校","名古屋市中区橘1-13-12","3","1","","","システム管理者","2023/07/12 15:38:23","システム管理者",""
"710","POINT(136.905103 35.148543)","23100","B123210000815","16001","平和小学校","名古屋市中区平和1-14-3","3","1","","","システム管理者","2023/07/12 15:38:23","システム管理者",""
"711","POINT(136.913101 35.16048)","23100","B123210000824","16001","老松小学校","名古屋市中区千代田1-9-36","3","1","","","システム管理者","2023/07/12 15:38:23","システム管理者",""
"712","POINT(136.918739 35.162618)","23100","B123210000833","16001","千早小学校","名古屋市中区新栄1-44-36","3","1","","","システム管理者","2023/07/12 15:38:23","システム管理者",""
"713","POINT(136.896408 35.159534)","23100","B123210000842","16001","大須小学校","名古屋市中区大須1-31-4","3","1","","","システム管理者","2023/07/12 15:38:23","システム管理者",""
"714","POINT(136.897574 35.150119)","23100","B123210000851","16001","正木小学校","名古屋市中区正木1-17-33","3","1","","","システム管理者","2023/07/12 15:38:23","システム管理者",""
"715","POINT(136.922711 35.153703)","23100","B123210000860","16001","鶴舞小学校","名古屋市昭和区鶴舞1-1-85","3","1","","","システム管理者","2023/07/12 15:38:23","システム管理者",""
"716","POINT(136.9296 35.156509)","23100","B123210000879","16001","吹上小学校","名古屋市昭和区吹上町1-22","3","1","","","システム管理者","2023/07/12 15:38:23","システム管理者",""
"717","POINT(136.921489 35.145232)","23100","B123210000888","16001","村雲小学校","名古屋市昭和区村雲町26-16","3","1","","","システム管理者","2023/07/12 15:38:23","システム管理者",""
"718","POINT(136.939932 35.144789)","23100","B123210000897","16001","松栄小学校","名古屋市昭和区長戸町2-1","3","1","","","システム管理者","2023/07/12 15:38:23","システム管理者",""
"719","POINT(136.928905 35.147288)","23100","B123210000904","16001","御器所小学校","名古屋市昭和区明月町1-32","3","1","","","システム管理者","2023/07/12 15:38:23","システム管理者",""
"720","POINT(136.948292 35.15101)","23100","B123210000913","16001","広路小学校","名古屋市昭和区川原通8-21-2","3","1","","","システム管理者","2023/07/12 15:38:23","システム管理者",""
"721","POINT(136.950042 35.156982)","23100","B123210000922","16001","川原小学校","名古屋市昭和区萩原町2-1","3","1","","","システム管理者","2023/07/12 15:38:23","システム管理者",""
"722","POINT(136.950015 35.141151)","23100","B123210000931","16001","八事小学校","名古屋市昭和区五軒家町25","3","1","","","システム管理者","2023/07/12 15:38:23","システム管理者",""
"723","POINT(136.960486 35.144206)","23100","B123210000940","16001","滝川小学校","名古屋市昭和区滝川町131","3","1","","","システム管理者","2023/07/12 15:38:23","システム管理者",""
"724","POINT(136.915684 35.146787)","23100","B123210000959","16001","白金小学校","名古屋市昭和区白金2-2-5","3","1","","","システム管理者","2023/07/12 15:38:23","システム管理者",""
